Unnamed: 0,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,eux,them
14,ville,city
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
32,affaire,case
33,type,type
34,leurs,their
35,donné,given
36,train,train
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
43,premier,first
44,perdu,lost
45,première,first
47,pouvoir,power
49,sois,be
50,matin,morning
51,tellement,so much
52,enfant,child
53,venu,came
55,pardon,sorry
56,venez,come
57,vers,towards
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,compte,account
78,donne,given
79,loin,far
81,chérie,sweetheart
82,gros,large
83,plutôt,rather
84,aura,will have
85,filles,girls
86,jouer,to play
87,bureau,office
